ticker,title,sic_code,sic_description
THG,HANOVER INSURANCE GROUP INC.,6331,"Fire, Marine & Casualty Insurance"
PB,PROSPERITY BANCSHARES INC,6022,State Commercial Banks
REZI,RESIDEO TECHNOLOGIES INC.,5072,Wholesale-Hardware
BEPC,BROOKFIELD RENEWABLE CORP,4911,Electric Services
ACHR,ARCHER AVIATION INC.,3721,Aircraft
GATX,GATX CORP,4700,Transportation Services
PIPR,PIPER SANDLER COMPANIES,6211,"Security Brokers, Dealers & Flotation Companies"
UELMO,UNION ELECTRIC CO,4911,Electric Services
GNTX,GENTEX CORP,3714,Motor Vehicle Parts & Accessories
RNA,AVIDITY BIOSCIENCES INC.,2834,Pharmaceutical Preparations
ARW,ARROW ELECTRONICS INC.,5065,"Wholesale-Electronic Parts & Equipment, NEC"
VNT,VONTIER CORP,3824,Totalizing Fluid Meters & Counting Devices
STVN,STEVANATO GROUP S.P.A.,3841,Surgical & Medical Instruments & Apparatus
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,8351,Services-Child Day Care Services
BXSL,BLACKSTONE SECURED LENDING FUND,,
BVN,BUENAVENTURA MINING CO INC,1000,Metal Mining
LTH,LIFE TIME GROUP HOLDINGS INC.,7997,Services-Membership Sports & Recreation Clubs
LOPE,GRAND CANYON EDUCATION INC.,8200,Services-Educational Services
NUVL,NUVALENT INC.,2834,Pharmaceutical Preparations
RITM,RITHM CAPITAL CORP.,6798,Real Estate Investment Trusts
OPEN,OPENDOOR TECHNOLOGIES INC.,6531,Real Estate Agents & Managers (For Others)
GGB,GERDAU S.A.,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills"
AXTA,AXALTA COATING SYSTEMS LTD.,2851,"Paints, Varnishes, Lacquers, Enamels & Allied Prods"
LEGN,LEGEND BIOTECH CORP,2834,Pharmaceutical Preparations
S,SENTINELONE INC.,7372,Services-Prepackaged Software
AG,FIRST MAJESTIC SILVER CORP,1040,Gold and Silver Ores
GXO,GXO LOGISTICS INC.,4700,Transportation Services
CCCS,CCC INTELLIGENT SOLUTIONS HOLDINGS INC.,7372,Services-Prepackaged Software
SANM,SANMINA CORP,3672,Printed Circuit Boards
KBR,KBR INC.,1600,Heavy Construction Other Than Bldg Const - Contractors
LUMN,LUMEN TECHNOLOGIES INC.,4813,Telephone Communications (No Radiotelephone)
ESI,ELEMENT SOLUTIONS INC,2890,Miscellaneous Chemical Products
URBN,URBAN OUTFITTERS INC,5651,Retail-Family Clothing Stores
HBM,HUDBAY MINERALS INC.,1000,Metal Mining
ABTC,AMERICAN BITCOIN CORP.,6199,Finance Services
NXST,NEXSTAR MEDIA GROUP INC.,4833,Television Broadcasting Stations
SITE,SITEONE LANDSCAPE SUPPLY INC.,5040,Wholesale-Professional & Commercial Equipment & Supplies
TXNM,TXNM ENERGY INC,4911,Electric Services
APLD,APPLIED DIGITAL CORP.,7374,Services-Computer Processing & Data Preparation
LPX,LOUISIANA-PACIFIC CORP,2400,Lumber & Wood Products (No Furniture)
CRK,COMSTOCK RESOURCES INC,1311,Crude Petroleum & Natural Gas
CWAN,CLEARWATER ANALYTICS HOLDINGS INC.,7372,Services-Prepackaged Software
EAT,BRINKER INTERNATIONAL INC,5812,Retail-Eating  Places
RLI,RLI CORP,6331,"Fire, Marine & Casualty Insurance"
EPRT,ESSENTIAL PROPERTIES REALTY TRUST INC.,6798,Real Estate Investment Trusts
AXSM,AXSOME THERAPEUTICS INC.,2834,Pharmaceutical Preparations
UFPI,UFP INDUSTRIES INC,2421,"Sawmills & Planting Mills, General"
RHP,RYMAN HOSPITALITY PROPERTIES INC.,6798,Real Estate Investment Trusts
SLM,SLM CORP,6141,Personal Credit Institutions
GBCI,GLACIER BANCORP INC.,6022,State Commercial Banks
ALK,ALASKA AIR GROUP INC.,4512,"Air Transportation, Scheduled"
CRSP,CRISPR THERAPEUTICS AG,2836,"Biological Products, (No Diagnostic Substances)"
CZR,CAESARS ENTERTAINMENT INC.,7011,Hotels & Motels
VLY,VALLEY NATIONAL BANCORP,6021,National Commercial Banks
CHRD,CHORD ENERGY CORP,1311,Crude Petroleum & Natural Gas
WEX,WEX INC.,7389,"Services-Business Services, NEC"
VFC,V F CORP,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments"
TRNO,TERRENO REALTY CORP,6500,Real Estate
EGO,ELDORADO GOLD CORP /FI,1040,Gold and Silver Ores
ORA,ORMAT TECHNOLOGIES INC.,4911,Electric Services
FROG,JFROG LTD,7372,Services-Prepackaged Software
CWST,CASELLA WASTE SYSTEMS INC,4953,Refuse Systems
FNB,FNB CORP/PA/,6021,National Commercial Banks
OZK,BANK OZK,,
POST,POST HOLDINGS INC.,2040,Grain Mill Products
LEU,CENTRUS ENERGY CORP,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
RDNT,RADNET INC.,8071,Services-Medical Laboratories
SOBO,SOUTH BOW CORP,4610,Pipe Lines (No Natural Gas)
GPK,GRAPHIC PACKAGING HOLDING CO,2650,Paperboard Containers & Boxes
ACT,ENACT HOLDINGS INC.,6411,"Insurance Agents, Brokers & Service"
TFPM,TRIPLE FLAG PRECIOUS METALS CORP.,6795,Mineral Royalty Traders
THO,THOR INDUSTRIES INC,3716,Motor Homes
CAR,AVIS BUDGET GROUP INC.,7510,Services-Auto Rental & Leasing (No Drivers)
MTDR,MATADOR RESOURCES CO,1311,Crude Petroleum & Natural Gas
ITRI,ITRON INC.,3825,Instruments For Meas & Testing of  Electricity & Elec Signals
MAIN,MAIN STREET CAPITAL CORP,,
SWX,SOUTHWEST GAS HOLDINGS INC.,4923,Natural Gas Transmisison & Distribution
GPI,GROUP 1 AUTOMOTIVE INC,5500,Retail-Auto Dealers & Gasoline Stations
WPP,WPP PLC,7311,Services-Advertising Agencies
CWEN,CLEARWAY ENERGY INC.,4911,Electric Services
MRP,MILLROSE PROPERTIES INC.,6500,Real Estate
WFG,WEST FRASER TIMBER CO. LTD,2421,"Sawmills & Planting Mills, General"
HOMB,HOME BANCSHARES INC,6022,State Commercial Banks
SMR,NUSCALE POWER CORP,3443,Fabricated Plate Work (Boiler Shops)
TFX,TELEFLEX INC,3841,Surgical & Medical Instruments & Apparatus
AMTM,AMENTUM HOLDINGS INC.,7389,"Services-Business Services, NEC"
BILL,BILL HOLDINGS INC.,7372,Services-Prepackaged Software
ATGE,ADTALEM GLOBAL EDUCATION INC.,8200,Services-Educational Services
MSGS,MADISON SQUARE GARDEN SPORTS CORP.,7990,Services-Miscellaneous Amusement & Recreation
MTN,VAIL RESORTS INC,7990,Services-Miscellaneous Amusement & Recreation
SFDMY,SHANGHAI FUDAN MICROELECTRONICS CO LIMITED/ADR/,8880,American Depositary Receipts
NGD,NEW GOLD INC. /FI,1000,Metal Mining
MTSR,METSERA INC.,2834,Pharmaceutical Preparations
MBRFY,MARFRIG GLOBAL FOODS S.A.,,
MAT,MATTEL INC /DE/,3942,Dolls & Stuffed Toys
IRTC,IRHYTHM TECHNOLOGIES INC.,3841,Surgical & Medical Instruments & Apparatus
FLY,FIREFLY AEROSPACE INC.,3760,Guided Missiles & Space Vehicles & Parts
ACIW,ACI WORLDWIDE INC.,7372,Services-Prepackaged Software
ALGM,ALLEGRO MICROSYSTEMS INC.,3674,Semiconductors & Related Devices
BBWI,BATH & BODY WORKS INC.,5990,"Retail-Retail Stores, NEC"
UBSI,UNITED BANKSHARES INC/WV,6022,State Commercial Banks
ENIC,ENEL CHILE S.A.,4911,Electric Services
MC,MOELIS & CO,6282,Investment Advice
ESE,ESCO TECHNOLOGIES INC,3669,"Communications Equipment, NEC"
TKR,TIMKEN CO,3562,Ball & Roller Bearings
LEA,LEAR CORP,3714,Motor Vehicle Parts & Accessories
SMTC,SEMTECH CORP,3674,Semiconductors & Related Devices
SNEX,STONEX GROUP INC.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
BLCO,BAUSCH & LOMB CORP,3851,Ophthalmic Goods
HWC,HANCOCK WHITNEY CORP,6022,State Commercial Banks
CORZ,CORE SCIENTIFIC INC./TX,6199,Finance Services
ERELY,EREGLI DEMIR VE CELIK FABRIKALARI TAS/ADR,,
SOUN,SOUNDHOUND AI INC.,7372,Services-Prepackaged Software
PI,IMPINJ INC,3679,"Electronic Components, NEC"
LPL,LG DISPLAY CO. LTD.,3679,"Electronic Components, NEC"
FCN,FTI CONSULTING INC,8742,Services-Management Consulting Services
ATAT,ATOUR LIFESTYLE HOLDINGS LTD,7011,Hotels & Motels
BMI,BADGER METER INC,3824,Totalizing Fluid Meters & Counting Devices
MIR,MIRION TECHNOLOGIES INC.,3829,"Measuring & Controlling Devices, NEC"
MTH,MERITAGE HOMES CORP,1531,Operative Builders
SEE,SEALED AIR CORP/DE,2820,"Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)"
GHC,GRAHAM HOLDINGS CO,8200,Services-Educational Services
NXE,NEXGEN ENERGY LTD.,1090,Miscellaneous Metal Ores
GGAL,GRUPO FINANCIERO GALICIA SA,6029,"Commercial Banks, NEC"
RSI,RUSH STREET INTERACTIVE INC.,7990,Services-Miscellaneous Amusement & Recreation
KRYS,KRYSTAL BIOTECH INC.,2836,"Biological Products, (No Diagnostic Substances)"
VVV,VALVOLINE INC,2990,Miscellaneous Products of  Petroleum & Coal
ABCB,AMERIS BANCORP,6022,State Commercial Banks
KRC,KILROY REALTY CORP,6798,Real Estate Investment Trusts
FRO,FRONTLINE PLC,4412,Deep Sea Foreign Transportation of  Freight
BOOT,BOOT BARN HOLDINGS INC.,5661,Retail-Shoe Stores
AUB,ATLANTIC UNION BANKSHARES CORP,6022,State Commercial Banks
MSM,MSC INDUSTRIAL DIRECT CO INC,5084,Wholesale-Industrial Machinery & Equipment
CACC,CREDIT ACCEPTANCE CORP,6141,Personal Credit Institutions
WHR,WHIRLPOOL CORP /DE/,3630,Household Appliances
MMS,MAXIMUS INC.,7389,"Services-Business Services, NEC"
OMAB,CENTRAL NORTH AIRPORT GROUP,4581,"Airports, Flying Fields & Airport Terminal Services"
CHH,CHOICE HOTELS INTERNATIONAL INC /DE,7011,Hotels & Motels
LAZ,LAZARD INC.,6282,Investment Advice
REYN,REYNOLDS CONSUMER PRODUCTS INC.,2673,"Plastics, Foil & Coated Paper Bags"
BTSG,BRIGHTSPRING HEALTH SERVICES INC.,8082,Services-Home Health Care Services
CIFR,CIPHER MINING INC.,6199,Finance Services
HAPVD,HAPVIDA PARTICIPACOES E INVESTIMENTOS S.A./ADR,,
KRG,KITE REALTY GROUP TRUST,6798,Real Estate Investment Trusts
OSCR,OSCAR HEALTH INC.,6324,Hospital & Medical Service Plans
RDN,RADIAN GROUP INC,6351,Surety Insurance
SPR,SPIRIT AEROSYSTEMS HOLDINGS INC.,3728,"Aircraft Parts & Auxiliary Equipment, NEC"
INGM,INGRAM MICRO HOLDING CORP,5045,Wholesale-Computers & Peripheral Equipment & Software
BIPC,BROOKFIELD INFRASTRUCTURE CORP,4923,Natural Gas Transmisison & Distribution
QLYS,QUALYS INC.,7372,Services-Prepackaged Software
NOV,NOV INC.,3533,Oil & Gas Field Machinery & Equipment
HXL,HEXCEL CORP /DE/,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers"
CPA,COPA HOLDINGS S.A.,4512,"Air Transportation, Scheduled"
AX,AXOS FINANCIAL INC.,6035,"Savings Institution, Federally Chartered"
TKC,TURKCELL ILETISIM HIZMETLERI A S,4813,Telephone Communications (No Radiotelephone)
M,MACY'S INC.,5311,Retail-Department Stores
FTDR,FRONTDOOR INC.,7340,Services-To Dwellings & Other Buildings
IEP,ICAHN ENTERPRISES L.P.,2911,Petroleum Refining
HHH,HOWARD HUGHES HOLDINGS INC.,6798,Real Estate Investment Trusts
EBOSY,EBOS GROUP LIMITED/ADR,,
DAR,DARLING INGREDIENTS INC.,2070,Fats & Oils
OGS,ONE GAS INC.,4924,Natural Gas Distribution
BCPC,BALCHEM CORP,2800,Chemicals & Allied Products
BCO,BRINKS CO,4731,Arrangement of  Transportation of  Freight & Cargo
UEC,URANIUM ENERGY CORP,1090,Miscellaneous Metal Ores
RAL,RALLIANT CORP,3823,"Industrial Instruments For Measurement, Display, and Control"
NJR,NEW JERSEY RESOURCES CORP,4924,Natural Gas Distribution
PTCT,PTC THERAPEUTICS INC.,2834,Pharmaceutical Preparations
FFIN,FIRST FINANCIAL BANKSHARES INC,6022,State Commercial Banks
ALKS,ALKERMES PLC.,2834,Pharmaceutical Preparations
MMSI,MERIT MEDICAL SYSTEMS INC,3841,Surgical & Medical Instruments & Apparatus
FLG,FLAGSTAR FINANCIAL INC.,6036,"Savings Institutions, Not Federally Chartered"
YOU,CLEAR SECURE INC.,7372,Services-Prepackaged Software
GVA,GRANITE CONSTRUCTION INC,1600,Heavy Construction Other Than Bldg Const - Contractors
BDC,BELDEN INC.,3357,Drawing & Insulating of  Nonferrous Wire
SXT,SENSIENT TECHNOLOGIES CORP,2860,Industrial Organic Chemicals
SIGI,SELECTIVE INSURANCE GROUP INC,6331,"Fire, Marine & Casualty Insurance"
POR,PORTLAND GENERAL ELECTRIC CO /OR/,4911,Electric Services
CAMT,CAMTEK LTD,3827,Optical Instruments & Lenses
CUZ,COUSINS PROPERTIES INC,6798,Real Estate Investment Trusts
PECO,PHILLIPS EDISON & COMPANY INC.,6798,Real Estate Investment Trusts
WTM,WHITE MOUNTAINS INSURANCE GROUP LTD,6331,"Fire, Marine & Casualty Insurance"
DJT,TRUMP MEDIA & TECHNOLOGY GROUP CORP.,7370,"Services-Computer Programming, Data Processing, Etc."
VCTR,VICTORY CAPITAL HOLDINGS INC.,6282,Investment Advice
ABG,ASBURY AUTOMOTIVE GROUP INC,5500,Retail-Auto Dealers & Gasoline Stations
MZTI,MARZETTI CO,2030,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties"
ENPH,ENPHASE ENERGY INC.,3674,Semiconductors & Related Devices
YKLTY,YAKULT HONSHA CO. LTD/ADR,,
KEX,KIRBY CORP,4400,Water Transportation
TGTX,TG THERAPEUTICS INC.,2834,Pharmaceutical Preparations
BRKR,BRUKER CORP,3826,Laboratory Analytical Instruments
BOX,BOX INC,7372,Services-Prepackaged Software
NMRK,NEWMARK GROUP INC.,8888,Foreign Governments
SLG,SL GREEN REALTY CORP,6798,Real Estate Investment Trusts
NIQ,NIQ GLOBAL INTELLIGENCE PLC,7370,"Services-Computer Programming, Data Processing, Etc."
ARWR,ARROWHEAD PHARMACEUTICALS INC.,2834,Pharmaceutical Preparations
MAC,MACERICH CO,6798,Real Estate Investment Trusts
CALM,CAL-MAINE FOODS INC,0200,Agricultural Prod-Livestock & Animal Specialties
GKOS,GLAUKOS CORP,3841,Surgical & Medical Instruments & Apparatus
KRFG,ONESOLUTION TECHNOLOGY INC.,3612,"Power, Distribution & Specialty Transformers"
LAUR,LAUREATE EDUCATION INC.,8200,Services-Educational Services
NWSGY,CTF SERVICES LTD,,
ST,SENSATA TECHNOLOGIES HOLDING PLC,3823,"Industrial Instruments For Measurement, Display, and Control"
AROC,ARCHROCK INC.,4922,Natural Gas Transmission
CLBT,CELLEBRITE DI LTD.,7372,Services-Prepackaged Software
WFRD,WEATHERFORD INTERNATIONAL PLC,3533,Oil & Gas Field Machinery & Equipment
CVCO,CAVCO INDUSTRIES INC.,2451,Mobile Homes
BRBR,BELLRING BRANDS INC.,2000,Food and Kindred Products
DORM,DORMAN PRODUCTS INC.,3714,Motor Vehicle Parts & Accessories
TTMI,TTM TECHNOLOGIES INC,3672,Printed Circuit Boards
QTWO,Q2 HOLDINGS INC.,7372,Services-Prepackaged Software
MGY,MAGNOLIA OIL & GAS CORP,1311,Crude Petroleum & Natural Gas
NEXHY,NIPPON EXPRESS HOLDINGS INC./ADR,,
SHTPY,SCHOTT PHARMA AG & CO. KGAA/ADR,,
NPO,ENPRO INC.,3050,"Gaskets, Packg & Sealg Devices & Rubber & Plastics Hose"
MCY,MERCURY GENERAL CORP,6331,"Fire, Marine & Casualty Insurance"
OS,ONESTREAM INC.,7372,Services-Prepackaged Software
CNX,CNX RESOURCES CORP,1311,Crude Petroleum & Natural Gas
SON,SONOCO PRODUCTS CO,2650,Paperboard Containers & Boxes
COMP,COMPASS INC.,7371,Services-Computer Programming Services
NE,NOBLE CORP PLC,1381,Drilling Oil & Gas Wells
SLFPY,STANDARD LIFE PLC,,
CROX,CROCS INC.,3021,Rubber & Plastics Footwear
NNI,NELNET INC,6141,Personal Credit Institutions
BGC,BGC GROUP INC.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
GOLF,ACUSHNET HOLDINGS CORP.,3949,"Sporting & Athletic Goods, NEC"
TDS,TELEPHONE & DATA SYSTEMS INC /DE/,4813,Telephone Communications (No Radiotelephone)
ACA,ARCOSA INC.,3440,Fabricated Structural Metal Products
MRCY,MERCURY SYSTEMS INC,3670,Electronic Components & Accessories
CRC,CALIFORNIA RESOURCES CORP,1311,Crude Petroleum & Natural Gas
PCVX,VAXCYTE INC.,2836,"Biological Products, (No Diagnostic Substances)"
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORP,7373,Services-Computer Integrated Systems Design
SLGN,SILGAN HOLDINGS INC,3411,Metal Cans
SR,SPIRE INC,4924,Natural Gas Distribution
GSAT,GLOBALSTAR INC.,4899,"Communications Services, NEC"
IFS,INTERCORP FINANCIAL SERVICES INC.,6029,"Commercial Banks, NEC"
SHC,SOTERA HEALTH CO,8090,"Services-Misc Health & Allied Services, NEC"
CE,CELANESE CORP,2820,"Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)"
HSAI,HESAI GROUP,3569,"General Industrial Machinery & Equipment, NEC"
OPCH,OPTION CARE HEALTH INC.,8082,Services-Home Health Care Services
SFBS,SERVISFIRST BANCSHARES INC.,6022,State Commercial Banks
NSA,NATIONAL STORAGE AFFILIATES TRUST,6798,Real Estate Investment Trusts
SBRA,SABRA HEALTH CARE REIT INC.,6798,Real Estate Investment Trusts
BKH,BLACK HILLS CORP /SD/,4911,Electric Services
DOOO,BRP INC.,3790,Miscellaneous Transportation Equipment
ACLX,ARCELLX INC.,2836,"Biological Products, (No Diagnostic Substances)"
STNE,STONECO LTD.,7374,Services-Computer Processing & Data Preparation
SSL,SASOL LTD,1311,Crude Petroleum & Natural Gas
CNR,CORE NATURAL RESOURCES INC.,1220,Silver Ores
SLAB,SILICON LABORATORIES INC.,3674,Semiconductors & Related Devices
ZETA,ZETA GLOBAL HOLDINGS CORP.,7372,Services-Prepackaged Software
KTB,KONTOOR BRANDS INC.,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments"
EPR,EPR PROPERTIES,6798,Real Estate Investment Trusts
SIM,GRUPO SIMEC S.A.B. DE C.V.,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)"
GBTG,GLOBAL BUSINESS TRAVEL GROUP INC.,4700,Transportation Services
WSC,WILLSCOT HOLDINGS CORP,7350,Services-Miscellaneous Equipment Rental & Leasing
AVT,AVNET INC,5065,"Wholesale-Electronic Parts & Equipment, NEC"
ASB,ASSOCIATED BANC-CORP,6022,State Commercial Banks
KC,KINGSOFT CLOUD HOLDINGS LTD,7372,Services-Prepackaged Software
DLO,DLOCAL LTD,7389,"Services-Business Services, NEC"
HMKIY,HUHTAMAKI OYJ/ADR,,
IBOC,INTERNATIONAL BANCSHARES CORP,6022,State Commercial Banks
PAGP,PLAINS GP HOLDINGS LP,4610,Pipe Lines (No Natural Gas)
WK,WORKIVA INC,7372,Services-Prepackaged Software
SNDR,SCHNEIDER NATIONAL INC.,4213,Trucking (No Local)
AD,ARRAY DIGITAL INFRASTRUCTURE INC.,4812,Radiotelephone Communications
FG,F&G ANNUITIES & LIFE INC.,6311,Life Insurance
BANF,BANCFIRST CORP /OK/,6021,National Commercial Banks
ECG,EVERUS CONSTRUCTION GROUP INC.,1531,Operative Builders
RUSHA,RUSH ENTERPRISES INC \TX\,5500,Retail-Auto Dealers & Gasoline Stations
SKY,CHAMPION HOMES INC.,2451,Mobile Homes
LSTR,LANDSTAR SYSTEM INC,4213,Trucking (No Local)
FSK,FS KKR CAPITAL CORP,,
BC,BRUNSWICK CORP,3510,Engines & Turbines
AB,ALLIANCEBERNSTEIN HOLDING L.P.,6282,Investment Advice
KNF,KNIFE RIVER CORP,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
FELE,FRANKLIN ELECTRIC CO INC,3621,Motors & Generators
FMC,FMC CORP,2800,Chemicals & Allied Products
KYMR,KYMERA THERAPEUTICS INC.,2836,"Biological Products, (No Diagnostic Substances)"
VSAT,VIASAT INC,4899,"Communications Services, NEC"
CLSK,CLEANSPARK INC.,6199,Finance Services
ENS,ENERSYS,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies"
SKYW,SKYWEST INC,4512,"Air Transportation, Scheduled"
KBH,KB HOME,1531,Operative Builders
AQN,ALGONQUIN POWER & UTILITIES CORP.,4911,Electric Services
MUR,MURPHY OIL CORP,1311,Crude Petroleum & Natural Gas
RYN,RAYONIER INC,6798,Real Estate Investment Trusts
GLNG,GOLAR LNG LTD,4400,Water Transportation
RUN,SUNRUN INC.,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies"
CRNX,CRINETICS PHARMACEUTICALS INC.,2834,Pharmaceutical Preparations
PVH,PVH CORP. /DE/,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments"
INTR,INTER & CO INC.,6029,"Commercial Banks, NEC"
VIST,VISTA ENERGY S.A.B. DE C.V.,1311,Crude Petroleum & Natural Gas
QFIN,QFIN HOLDINGS INC.,6199,Finance Services
CBT,CABOT CORP,2890,Miscellaneous Chemical Products
TNL,TRAVEL & LEISURE CO.,7011,Hotels & Motels
PTGX,PROTAGONIST THERAPEUTICS INC,2834,Pharmaceutical Preparations
PHI,PLDT INC.,4813,Telephone Communications (No Radiotelephone)
LB,LANDBRIDGE CO LLC,6792,Oil Royalty Traders
SHAK,SHAKE SHACK INC.,5810,Retail-Eating & Drinking Places
CSW,CSW INDUSTRIALS INC.,2891,Adhesives & Sealants
FHI,FEDERATED HERMES INC.,6282,Investment Advice
SSRM,SSR MINING INC.,6795,Mineral Royalty Traders
LMND,LEMONADE INC.,6331,"Fire, Marine & Casualty Insurance"
SPSC,SPS COMMERCE INC,7372,Services-Prepackaged Software
HGTY,HAGERTY INC.,6411,"Insurance Agents, Brokers & Service"
TGS,GAS TRANSPORTER OF THE SOUTH INC,4922,Natural Gas Transmission
CALX,CALIX INC,4899,"Communications Services, NEC"
UCB,UNITED COMMUNITY BANKS INC,6022,State Commercial Banks
LBTYA,LIBERTY GLOBAL LTD.,4841,Cable & Other Pay Television Services
OSIS,OSI SYSTEMS INC,3674,Semiconductors & Related Devices
AGO,ASSURED GUARANTY LTD,6351,Surety Insurance
ANF,ABERCROMBIE & FITCH CO /DE/,5651,Retail-Family Clothing Stores
CRVL,CORVEL CORP,6411,"Insurance Agents, Brokers & Service"
MWA,MUELLER WATER PRODUCTS INC.,3490,Miscellaneous Fabricated Metal Products
VERX,VERTEX INC.,7372,Services-Prepackaged Software
VRRM,VERRA MOBILITY CORP,4700,Transportation Services
PL,PLANET LABS PBC,3663,Radio & Tv Broadcasting & Communications Equipment
TCBI,TEXAS CAPITAL BANCSHARES INC/TX,6022,State Commercial Banks
IRT,INDEPENDENCE REALTY TRUST INC.,6798,Real Estate Investment Trusts
AVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,6029,"Commercial Banks, NEC"
HNGE,HINGE HEALTH INC.,7374,Services-Computer Processing & Data Preparation
SIG,SIGNET JEWELERS LTD,5944,Retail-Jewelry Stores
PAY,PAYMENTUS HOLDINGS INC.,7389,"Services-Business Services, NEC"
ENLT,ENLIGHT RENEWABLE ENERGY LTD.,4911,Electric Services
PLXS,PLEXUS CORP,3672,Printed Circuit Boards
UGP,ULTRAPAR HOLDINGS INC,4924,Natural Gas Distribution
ALE,ALLETE INC,4931,Electric & Other Services Combined
TFSL,TFS FINANCIAL CORP,6035,"Savings Institution, Federally Chartered"
MLCO,MELCO RESORTS & ENTERTAINMENT LTD,7011,Hotels & Motels
HASI,HA SUSTAINABLE INFRASTRUCTURE CAPITAL INC.,6799,"Investors, NEC"
MHO,M/I HOMES INC.,1531,Operative Builders
CNO,CNO FINANCIAL GROUP INC.,6321,Accident & Health Insurance
HGV,HILTON GRAND VACATIONS INC.,7000,"Hotels, Rooming Houses, Camps & Other Lodging Places"
AKRO,AKERO THERAPEUTICS INC.,2834,Pharmaceutical Preparations
TMDX,TRANSMEDICS GROUP INC.,3845,Electromedical & Electrotherapeutic Apparatus
MENS,JYONG BIOTECH LTD.,2834,Pharmaceutical Preparations
VEON,VEON LTD.,4812,Radiotelephone Communications
SKT,TANGER INC.,6798,Real Estate Investment Trusts
HRI,HERC HOLDINGS INC,7350,Services-Miscellaneous Equipment Rental & Leasing
AAP,ADVANCE AUTO PARTS INC,5531,Retail-Auto & Home Supply Stores
PSMT,PRICESMART INC,5331,Retail-Variety Stores
ZLAB,ZAI LAB LTD,2834,Pharmaceutical Preparations
WULF,TERAWULF INC.,6199,Finance Services
PTXKY,PT XLSMART TELECOM SEJAHTERA TBK/ADR,8880,American Depositary Receipts
AGX,ARGAN INC,1700,Construction - Special Trade Contractors
DNP,DNP SELECT INCOME FUND INC,,
NHI,NATIONAL HEALTH INVESTORS INC,6798,Real Estate Investment Trusts
CXT,CRANE NXT CO.,3490,Miscellaneous Fabricated Metal Products
CARG,CARGURUS INC.,7374,Services-Computer Processing & Data Preparation
ATMU,ATMUS FILTRATION TECHNOLOGIES INC.,3714,Motor Vehicle Parts & Accessories
CWK,CUSHMAN & WAKEFIELD PLC,6500,Real Estate
RH,RH,5712,Retail-Furniture Stores
CVI,CVR ENERGY INC,2911,Petroleum Refining
BTDR,BITDEER TECHNOLOGIES GROUP,6199,Finance Services
GTM,ZOOMINFO TECHNOLOGIES INC.,7372,Services-Prepackaged Software
TENB,TENABLE HOLDINGS INC.,7372,Services-Prepackaged Software
HWKN,HAWKINS INC,5160,Wholesale-Chemicals & Allied Products
WGS,GENEDX HOLDINGS CORP.,8000,Services-Health Services
TEO,TELECOM ARGENTINA SA,4813,Telephone Communications (No Radiotelephone)
HUT,HUT 8 CORP.,6199,Finance Services
KFY,KORN FERRY,7361,Services-Employment Agencies
GNW,GENWORTH FINANCIAL INC,6311,Life Insurance
MIRM,MIRUM PHARMACEUTICALS INC.,2834,Pharmaceutical Preparations
POWL,POWELL INDUSTRIES INC,3613,Switchgear & Switchboard Apparatus
GBDC,GOLUB CAPITAL BDC INC.,,
MDU,MDU RESOURCES GROUP INC,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
SAND,SANDSTORM GOLD LTD,1040,Gold and Silver Ores
BRC,BRADY CORP,3990,Miscellaneous Manufacturing Industries
EBC,EASTERN BANKSHARES INC.,6035,"Savings Institution, Federally Chartered"
FRSH,FRESHWORKS INC.,7372,Services-Prepackaged Software
NOVT,NOVANTA INC,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies"
ACAD,ACADIA PHARMACEUTICALS INC,2834,Pharmaceutical Preparations
TAC,TRANSALTA CORP,4911,Electric Services
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,2834,Pharmaceutical Preparations
BRZE,BRAZE INC.,7372,Services-Prepackaged Software
PBF,PBF ENERGY INC.,2911,Petroleum Refining
NWE,NORTHWESTERN ENERGY GROUP INC.,4931,Electric & Other Services Combined
COLD,AMERICOLD REALTY TRUST,6798,Real Estate Investment Trusts
USLM,UNITED STATES LIME & MINERALS INC,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
AKO-A,ANDINA BOTTLING CO INC,2086,Bottled & Canned Soft Drinks & Carbonated Waters
